,Unnamed: 0,strike,direction,price,volume,theorical_price
0,0,60000.0,0,1.0,3982230.891942,37.28572194071195
1,1,70000.0,0,1.0,3028856.657899,100.0
2,2,80000.0,0,1.0,2080615.963562,100.0
3,3,75000.0,0,1.0,474776.876884,100.0
4,4,65000.0,0,1.0,1755832.971776,86.8579830488733
5,5,60000.0,0,0.295,1754385.129234,37.28572194071195
6,6,75000.0,1,0.155,2499101.466191,23.522961994605346
7,7,55000.0,0,0.1105,3724958.607461,9.06167133409659
8,8,50000.0,0,0.047,3621176.666928,1.0041703505025055
9,9,80000.0,1,0.046,1934134.46842,7.319844047317919
10,10,45000.0,0,0.022,2679067.312121,0.03826208247498546
11,11,85000.0,1,0.0155,5328534.569215,1.8397861026450482
12,12,90000.0,1,0.0135,3950949.648182,0.38502171876856095
13,13,40000.0,0,0.0135,2065502.718771,0.00033929133494500324
14,14,35000.0,0,0.0075,3396266.860966,3.9574146234327564e-07
15,15,95000.0,1,0.0055,2853500.846635,0.06898301447149685
16,16,100000.0,1,0.0045,2798285.492421,0.010842372832055538
17,17,110000.0,1,0.0025,1789597.515824,0.00019600594475536649
18,18,105000.0,1,0.0025,2008164.090002,0.001526585066755971
19,19,150000.0,1,0.0015,20565886.627516,2.1521915132909717e-12
20,20,120000.0,1,0.0015,2623162.059175,2.5971026125374867e-06
21,21,125000.0,1,0.0015,3165131.235261,2.7445092752759824e-07
22,22,115000.0,1,0.0015,2945640.931566,2.3298874925607224e-05
